object name,grasp direction,ID,choose_crit,eps_l1,vol_l1,offset_fingers,1:object_grasped,2:lifted,3:moved_start,4:1st_spin,5:1st_spin_90,6:1st_spin_-90,7:hard_dash,8:hard_dash_90,9:hard_dash_-90
ombia,TOP,160,BEST EPS,0.012358659,0.000061106,,0.5,0.5,1,1,1,1,1,1,1
ombia,SIDE,259,BEST EPS,0.011983964,0.000041716,,0.5,1,1,1,1,1,1,1,1
ombia,TOP,254,BEST VOL,0.011697336,0.000153428,,0.5,1,1,1,1,1,1,1,1
ombia,SIDE,40,BEST VOL,0.009999042,0.000081057,,0.5,1,0.5,1,1,1,1,1,1
ombia,SIDE,175,RANDOM,0.00187393,0.000021922,,0.5,1,1,1,1,1,1,1,1
ombia,SIDE,37,,0.000788148,0.000003217,,0,,,,,,,,
