object name,grasp direction,ID,choose_crit,eps_l1,vol_l1,offset_fingers,1:object_grasped,2:lifted,3:moved_start,4:1st_spin,5:1st_spin_90,6:1st_spin_-90,7:hard_dash,8:hard_dash_90,9:hard_dash_-90
mildessa,TOP,200,BEST EPS,0.022499482,0.000139106,,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
mildessa,TOP,170,BEST VOL,0.020443198,0.000224308,,0.5,0.5,1,1,0,,,,
mildessa,SIDE,115,,0.011300801,0.000085013,,0.5,0,,,,,,,
mildessa,SIDE,192,,0.015552162,0.000077564,,0.5,0.5,1,1,1,1,1,1,1
mildessa,SIDE,134,,0.003899953,0.000014391,,0,,,,,,,,
mildessa,TOP,214,RANDOM,0.013975718,0.000102231,,0.5,0.5,1,1,1,1,1,1,1
