"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","iterationstep","energy"
"40","mildessa","0.455319","-0.575999","1.097599","-0.444749","1.228849","-0.651624","1.058224","SIDE","0.242546","0.957132","0.153636","0.038292","-18.60926","187.692514","141.296609","0.169","0.25","180","-24.287"
"41","mildessa","0.564063","-0.631375","0.895898","-0.585125","0.942148","-0.5595","0.967773","TOP","0.395936","0.908412","-0.000265","0.134245","-50.022834","243.335957","131.633049","0.144","0.13","138","-18.283"
"42","mildessa","0.39169","-0.629241","0.911252","-0.435491","1.105002","-0.644241","1.128752","TOP","0.305097","0.886263","-0.093951","0.335601","-80.647713","207.014363","102.290316","0.222","0.308","169","-31.492"
"43","mildessa","0.554349","-0.58991","0.96186","-0.48116","1.07061","-0.628348","0.923422","SIDE","0.138791","0.917555","0.188187","0.321582","-135.817733","111.922516","161.940089","0.175","0.0983","119","-20.526"
"44","mildessa","0.440596","-0.537873","0.723296","-0.520998","0.856421","-0.528498","0.748921","SIDE","0.065337","0.992166","0.003657","0.106417","-26.752059","98.642699","175.348467","0.297","0.596","179","-48.182"
"45","mildessa","0.440742","-0.679563","0.997339","-0.23675","1.221401","-0.602063","1.251401","SIDE","0.232995","0.940139","-0.129685","0.212211","-32.19938","195.132349","122.290223","0.183","0.429","134","-31.151"
"46","mildessa","0.470438","-0.666609","0.973821","-0.688172","0.952258","-0.627234","1.013196","SIDE","0.100567","0.966303","0.030339","0.234998","-87.952084","108.061719","179.267133","0.184","0.145","156","-22.923"
"47","mildessa","0.484337","-0.564235","1.077768","-0.09736","1.479643","-0.599235","1.479643","TOP","0.461889","0.766895","-0.334691","0.294131","43.458605","242.84918","54.427465","0.0","0.0","153","-2.470"
"48","mildessa","0.551019","-0.648269","1.096168","-0.597019","1.082418","-0.633894","1.045543","TOP","0.325256","0.909288","0.158618","0.205532","-81.762498","175.456816","113.165337","0.173","0.337","66","-27.466"
"49","mildessa","0.424523","-0.682898","0.897543","-0.640086","0.940355","-0.578836","1.001605","TOP","0.900106","0.301938","-0.308288","0.060007","117.097234","195.734191","-139.347081","0.164","0.158","199","-21.115"
"50","mildessa","0.48097","-0.556569","0.933637","-0.545944","0.814887","-0.545944","0.866137","SIDE","0.996601","0.022137","0.07554","0.024278","-16.29235","83.903633","-171.446486","0.366","0.805","171","-60.755"
