"reference.position","ref.pos.x","ref.pos.y","ref.pos.z","measure.pos.x","measure.pos.y","measure.pos.z","sol.arm_1_joint","sol.arm_2_joint","sol.arm_3_joint","sol.arm_4_joint","sol.arm_5_joint","sol.arm_6_joint","sol.arm_7_joint","meas.arm_1_joint","meas.arm_2_joint","meas.arm_3_joint","meas.arm_4_joint","meas.arm_5_joint","meas.arm_6_joint","meas.arm_7_joint"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000340728778948","0.0180231812559","-0.000153480474365","-3.32543217592","0.125052051138","2.85552457991","-1.317803004","3.57690221971","1.01765290305","4.38739186324","-3.32444000244","0.127437695861","2.85613775253","-1.31972002983","3.57791566849","1.01339137554","4.38580989838"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000509015491153","0.0180587637484","-4.47938923823e-05","-3.32543217592","0.125052051138","2.85552457991","-1.317803004","3.57690221971","1.01765290305","4.38739186324","-3.3244137764","0.127427175641","2.85640883446","-1.31946396828","3.57790994644","1.01340270042","4.38582038879"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000799483478787","0.0180137982841","-2.74002702556e-05","-3.32543217592","0.125052051138","2.85552457991","-1.317803004","3.57690221971","1.01765290305","4.38739186324","-3.3241083622","0.127432435751","2.85663986206","-1.3193936348","3.57791566849","1.01340270042","4.38578891754"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000769114567057","0.0179508662858","-0.000165103131295","-3.32543217592","0.125052051138","2.85552457991","-1.317803004","3.57690221971","1.01765290305","4.38739186324","-3.32412409782","0.12741664052","2.85662984848","-1.31970000267","3.57790994644","1.01340270042","4.38572645187"
"No. 0 - Frame: table_link","0.0","0.02","0.0","-0.000423033573966","0.0180132604087","-0.000152817889603","-3.32543217592","0.125052051138","2.85552457991","-1.317803004","3.57690221971","1.01765290305","4.38739186324","-3.32411885262","0.127432435751","2.85595202446","-1.31971001625","3.57791566849","1.01339697838","4.38573694229"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.13017186329","0.0183029240601","-0.130711933454","-3.54656507344","0.0610713510346","2.67854733546","-1.74849674983","3.92527676167","0.937973500952","3.73011157283","-3.54536223412","0.0634003728628","2.67958378792","-1.75019264221","3.9275431633","0.93445879221","3.72784519196"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.130187677179","0.0183105374588","-0.130705485712","-3.54656507344","0.0610713510346","2.67854733546","-1.74849674983","3.92527676167","0.937973500952","3.73011157283","-3.54552531242","0.0634109005332","2.67970943451","-1.75016248226","3.92754888535","0.934481561184","3.72804427147"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.130141297814","0.0183079947941","-0.130689339593","-3.54656507344","0.0610713510346","2.67854733546","-1.74849674983","3.92527676167","0.937973500952","3.73011157283","-3.54557275772","0.0633740574121","2.67986011505","-1.75016248226","3.9275431633","0.934470176697","3.72807574272"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.12990756968","0.0181979760631","-0.130667408359","-3.54656507344","0.0610713510346","2.67854733546","-1.74849674983","3.92527676167","0.937973500952","3.73011157283","-3.545399189","0.0634056404233","2.68021655083","-1.75017750263","3.92754888535","0.93445879221","3.72802329063"
"No. 1 - Frame: table_link","0.1305","0.02","-0.1305","0.129897630035","0.0181957633856","-0.130653749071","-3.54656507344","0.0610713510346","2.67854733546","-1.74849674983","3.92527676167","0.937973500952","3.73011157283","-3.54529380798","0.0634109005332","2.68013620377","-1.75015246868","3.92755436897","0.93445879221","3.72805476189"
