"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","indicee"
"0","ombia","0.0","0.398203704795","-8.40557380573e-16","-0.408796307459","1.57079632679","-0.132796304128","1.52779632801","SIDE","0.813150358942","-0.134104869082","-0.566394189448","-6.82667733228e-17","140.986806704","145.446180396","-52.3852243999","0.000522584","0.000003874","63"
"1","ombia","0.0","-0.442796309074","1.57079632679","1.09820371523","1.57079632679","-0.183796303291","1.57079632679","SIDE","9.58597078668e-18","0.687019310209","0.0634996956101","0.723859279182","-149.516033772","163.45286593","-6.30302617769","0.000012465","0.000000006","68"
"2","ombia","0.0","0.406203705175","3.3701196344e-16","-0.410796307554","1.57079632679","-0.230796305523","1.57079632679","SIDE","0.765660770724","-0.0559569347108","-0.640806059297","-2.71878650542e-16","145.307972936","164.596187586","-22.7147342873","0.000801864","0.000001799","70"
"3","ombia","0.0","0.0222036999741","1.57079632679","-0.796796312849","1.57079632679","-0.529796309946","1.57079632679","SIDE","0.750097528671","0.0967755583441","0.654208062308","-1.29509178395e-16","-117.529961104","191.476240729","-20.5681384898","0.001995151","0.000004960","72"
"4","ombia","0.0","0.0142036995941","1.57079632679","-0.374796305844","1.57079632679","-0.273796304306","1.57079632679","SIDE","0.750097528671","0.0967755583441","0.654208062308","-1.11007867196e-16","-141.977624069","195.092729687","-23.6891772813","0.002749724","0.000002317","73"
"5","ombia","0.0","0.263203701642","-1.58635129845e-15","-0.228796305428","1.57079632679","-0.257796306806","1.45100002328","SIDE","-0.434499853975","0.122308374122","0.892328716626","-6.22093071723e-17","109.777910585","162.354153445","100.160096545","0.002022874","0.000004519","76"
"6","ombia","0.0","0.143203699202","1.35500002198","-0.296796305399","1.57079632679","-0.249796306426","1.43000002229","SIDE","0.863530034395","0.0538422331717","0.501414891707","-1.48656713848e-16","-123.712452419","188.164199696","-81.4641840836","0.006631619","0.000009327","77"
"7","ombia","0.0","0.219203702812","1.57079632679","-0.622796311104","1.57079632679","-0.425796308266","1.57079632679","SIDE","0.863530034395","0.0538422331717","0.501414891707","-1.52674462871e-16","-102.141049112","185.847849413","-69.2242012102","0.000437158","0.000004553","84"
"8","ombia","0.0","-0.552796311039","1.57079632679","1.09820371523","1.57079632679","-0.0697963043957","1.27300002135","SIDE","2.71878650542e-16","-0.640806059297","0.0559569347108","0.765660770724","152.176933902","163.99637116","-23.922044128","0.000664657","0.000000985","88"
"9","ombia","0.755","-0.923796315622","0.0","0.125203701607","1.28600002197","-0.482796307714","1.01200001547","SIDE","1.86835809852e-16","0.742779867459","-0.32004371933","0.588090202448","-123.691246478","225.200558765","60.5361874671","0.002577038","0.000058318","89"
"10","ombia","0.0","-0.221796305096","1.57079632679","-0.697796311407","1.57079632679","-0.0607963039682","1.57079632679","SIDE","0.558089388339","0.27683579695","0.782239206478","0.0","-107.001308782","210.17338411","59.4192190345","0.003128823","0.000005800","101"
"11","ombia","0.0","-0.138796304413","1.57079632679","-0.436796308789","1.24900002021","-0.0357963027807","1.32600002061","SIDE","0.558089388339","0.27683579695","0.782239206478","4.97332079691e-17","-128.750698104","217.870530298","68.8120942434","0.004189134","0.000006180","105"
"12","ombia","0.0","-0.241796306046","1.57079632679","-0.792796312659","1.57079632679","0.00920369935665","1.57079632679","SIDE","0.588090202448","0.32004371933","0.742779867459","-2.35980598725e-16","-107.782205247","218.345783953","54.9220476355","0.000250809","0.000004151","106"
"13","ombia","0.755","-0.974796314785","0.0","0.0412036976169","1.50379632687","-0.420796308029","1.10200001649","SIDE","7.09644195427e-17","0.782239206478","-0.27683579695","0.558089388339","-120.892628694","215.089546055","65.4184419314","0.001175966","0.000035782","108"
"14","ombia","0.0","-0.147796304841","1.57079632679","-0.503796308711","1.28900002211","0.00520369916666","1.19600002095","SIDE","0.588090202448","0.32004371933","0.742779867459","-1.8878447898e-16","-129.544655497","227.722634114","62.6017963403","0.003999425","0.000007057","115"
"15","ombia","0.0","-0.480796307619","1.57079632679","-1.24979632133","-2.91025020034e-16","0.0162036996891","1.53879632853","SIDE","0.530399049075","-0.394164303606","0.531025610723","-0.530399049075","-141.68319214","195.04917502","-23.6515894974","0.001431631","0.000017328","136"
"16","ombia","0.755","-0.183796303291","1.57079632679","-0.388796306509","1.57079632679","-0.322796306634","1.07300001837","SIDE","0.69328622832","0.117413258571","0.157868736469","-0.69328622832","-5.08021049347","209.625083681","-108.285153506","0.001675636","0.000004268","158"
"17","ombia","0.755","-0.321796306586","1.46300002385","-0.469796310356","1.57079632679","0.0852036997068","0.207000003313","SIDE","0.574984132932","0.305674709866","-0.495327634501","-0.574984132932","144.394977841","144.63922942","-53.5782044206","0.003017642","0.000006093","168"
"18","ombia","0.755","-0.523796309661","1.57079632679","-1.10779631784","1.57079632679","0.166203700294","0.613000009558","SIDE","0.541403923068","0.413550781966","-0.492685837943","-0.541403923068","124.887533518","166.379356111","-19.1255746486","0.002201254","0.000004016","170"
"19","ombia","0.755","-0.288796305019","1.57079632679","-0.540796310469","1.57079632679","0.0682036988994","0.00400000018999","SIDE","0.541403923068","0.413550781966","-0.492685837943","-0.541403923068","149.331221369","164.244866548","-23.421872885","0.000031909","0.000000011","173"
"20","ombia","0.0","-0.132796304128","0.979000017163","-0.242796306093","1.21200001845","-0.0577963038257","0.862000014866","SIDE","-0.196744532942","0.970035676275","0.142556569513","-1.60947804969e-16","10.5471428758","103.287716377","148.737302334","0.008011026","0.000020806","184"
"21","ombia","3.33066907388e-16","-0.408796307459","1.57079632679","-0.580796309109","1.57079632679","-0.138796304413","1.54679632891","SIDE","2.93554924167e-16","-0.701526116613","-0.0707416480337","0.709123915084","147.141882418","169.023997169","-0.50020655361","0.001413882","0.000007514","189"
"22","ombia","0.0","-0.513796309186","1.57079632679","-0.341796307536","1.57079632679","-0.196796303909","1.53879632853","SIDE","0.767154948903","0.0679255690372","0.637855313879","9.04497052887e-18","-144.6711274","169.508034387","-30.159324431","0.002265027","0.000007630","191"
"23","ombia","0.755","-0.0487963033982","1.53279632825","-0.370796305654","1.57079632679","-0.250796306473","0.705000010668","SIDE","0.863530034395","0.0538422331717","0.501414891707","-1.48656713848e-16","-123.62585505","188.154900819","-81.4150472565","0.002926940","0.000010176","211"
"24","ombia","0.755","-0.0687963043482","1.57079632679","-0.429796308456","1.57079632679","-0.289796305066","0.903000013554","SIDE","0.750097528671","0.0967755583441","0.654208062308","-1.29509178395e-16","-139.033304781","194.657183017","-23.3132994427","0.001393017","0.000005518","214"
"25","ombia","0.755","-0.091796302181","0.771000013803","-0.189796303576","1.33400002099","-0.198796304004","0.700000010431","SIDE","0.69328622832","0.117413258571","0.157868736469","-0.69328622832","-6.47752327718","219.133191625","-131.266700458","0.002131748","0.000005209","223"
"26","ombia","0.755","-0.148796304888","0.851000014343","-0.117796303416","1.06500001799","-0.334796307204","0.992000017781","SIDE","0.706797972827","-0.0104646556214","-0.0276358860596","-0.706797972827","2.91957069749","149.215063184","-157.075925294","0.006230590","0.000008167","231"
"27","ombia","0.755","-0.240796305998","1.57079632679","-0.615796310771","1.57079632679","0.0172036997366","0.014000000665","SIDE","0.530399049075","-0.394164303606","0.531025610723","-0.530399049075","-140.407320449","194.86043813","-23.4887091007","0.000210542","0.000006839","238"
"28","ombia","0.0","-1.57079632679","1.57079632679","-0.168796305838","1.57079632679","-0.233796305666","1.57079632679","SIDE","2.57076564503e-16","0.284705832114","0.958199881289","0.0282059684807","-1.78652845802","150.455877596","133.539786274","0.000079050","0.000001680","247"
"29","ombia","0.0","1.03220371209","1.57079632679","-1.12979631889","1.57079632679","-0.362796308534","0.769000013708","TOP","0.505705340864","0.457058003813","-0.528793151992","0.505705340864","-2.70234618263","297.908801979","-2.20730294948","0.005034358","0.000019291","251"
"30","ombia","0.0","-0.472796307239","1.57079632679","-0.386796306414","1.49000002514","-0.276796304449","1.29500002239","SIDE","0.75035781882","0.0840626907493","0.655665011846","-6.47321266056e-17","-151.722546001","106.636809627","-24.11968459","0.004044720","0.000037115","262"
"31","ombia","0.755","0.379203703892","1.37300002284","-0.405796307316","1.57079632679","-1.57079632679","1.57079632679","SIDE","0.4158425701","0.751529765423","0.298919596995","0.4158425701","-94.4154658171","212.586418103","50.2050604101","0.001484331","0.000007609","267"
"32","ombia","0.0","-0.591796309632","1.54579632887","-0.475796307381","1.57079632679","0.0932037000868","1.3700000227","SIDE","2.53118188444e-16","0.501414891707","-0.0538422331717","0.863530034395","-121.807310298","187.959624388","-80.3831738868","0.002586281","0.000018150","269"
