"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","iterationstep","energy"
"29","ombia","0.49642","-0.558773","0.788302","-0.467523","0.919552","-0.34971","0.997365","TOP","0.276092","0.77058","0.149781","-0.554568","151.998839","200.709201","53.015747","0.057","0.084","154","-8.189"
"30","ombia","0.581224","-0.442641","0.8158","-0.403891","0.85455","-0.442641","0.8158","SIDE","0.528654","0.107297","0.840567","-0.049591","-184.637481","159.039702","75.96275","0.104","0.0266","199","-11.183"
"31","ombia","0.523702","-0.527257","0.870295","-0.541944","0.855608","-0.446944","0.950608","SIDE","0.623328","0.030893","0.781316","0.007285","-211.01417","89.973169","43.754341","0.14","0.0361","156","-15.125"
"32","ombia","0.819242","-0.513314","0.838838","-0.529564","0.822588","-0.448626","0.903525","SIDE","0.6881","0.013494","0.725476","0.004667","-216.576107","116.204853","0.91109","0.155","0.0429","152","-16.826"
"33","ombia","0.696012","-0.351149","0.927465","-0.363649","0.914965","-0.398962","0.879652","SIDE","0.148024","0.94107","0.154074","0.262177","-109.886071","207.120446","177.874554","0.0487","0.0085","169","-5.132"
"34","ombia","0.404076","-0.504935","0.773551","-0.370248","0.908239","-0.389623","0.888864","SIDE","0.930842","0.187679","0.296935","0.100691","-127.423789","167.674601","-176.183532","0.0739","0.0222","167","-8.055"
"35","ombia","0.561556","-0.364998","1.068239","-0.551561","0.877926","-0.464998","0.964489","TOP","0.697872","0.21876","0.641686","-0.230994","-156.136302","211.032865","-24.398623","0.161","0.0885","169","-18.804"
"36","ombia","0.874345","-0.423569","0.948323","-0.476694","1.158323","-0.471694","0.900198","TOP","0.143839","0.761095","0.295907","-0.559002","146.039235","235.515806","53.978873","0.103","0.0698","185","-12.375"
"37","ombia","0.609045","-0.40713","0.934075","-0.234942","1.106263","-0.44713","0.977825","SIDE","0.183511","0.87512","0.033365","-0.446516","152.212698","195.774984","76.331594","0.101","0.0481","179","-11.512"
"38","ombia","0.67359","-0.30038","1.019458","-0.356005","1.234458","-0.32288","0.953208","SIDE","0.916722","-0.018727","0.397941","0.030235","-121.571877","111.308531","-126.816061","0.0964","0.0938","165","-12.454"
"39","ombia","0.555564","-0.741667","1.219701","-0.676667","1.448451","-0.295417","1.384701","SIDE","0.057253","0.985358","-0.038265","0.155971","-65.371092","121.321997","155.052056","0.949","0.204","180","-15.644"
"40","ombia","0.608485","-0.436228","1.213056","-0.464978","0.858056","-0.274978","1.048056","SIDE","0.952734","0.173533","0.249358","-0.002377","-89.038013","203.756556","-143.85084","0.049","0.0565","101","-6.635"
"41","ombia","0.722558","-0.424784","0.997077","-0.484471","0.93739","-0.507596","0.914265","SIDE","0.831248","0.135103","-0.524793","0.123963","176.350741","160.690431","-69.172303","0.0885","0.0304","157","-9.765"
"42","ombia","0.481651","-0.233681","1.258802","-0.278681","0.988802","-0.356806","1.151302","SIDE","0.823242","0.083134","-0.54677","0.128079","151.502853","195.595793","-49.345255","0.0859","0.0727","126","-10.771"
"43","ombia","0.871542","-0.326834","0.970576","-0.382459","1.406826","-0.477459","0.819951","SIDE","0.545152","0.256669","-0.580537","-0.547638","158.737247","76.354955","-44.39351","0.0538","0.0493","96","-6.853"
"44","ombia","0.996155","-0.450221","0.835933","-0.348346","0.937808","-0.490846","0.795308","SIDE","0.482766","0.310426","-0.557596","-0.599716","188.130402","65.558062","-47.648586","0.0806","0.0187","132","-8.624"
"45","ombia","0.74152","-0.348483","1.378133","-0.274108","1.023133","-0.266608","1.085633","SIDE","0.849401","0.076781","-0.473182","0.220732","129.499216","205.837284","-79.381131","0.123","0.0719","199","-13.967"
"46","ombia","0.670599","-0.300231","1.145996","-0.386481","1.570796","-0.211481","1.145996","SIDE","0.569164","-0.347583","-0.733952","0.12866","143.129545","126.903992","38.977128","0.0","0.0","49","-0.327"
"47","ombia","0.578866","-0.4671","0.826989","-0.386475","0.907614","-0.427725","0.866364","SIDE","0.794121","2.3e-05","-0.584141","0.167782","197.324897","192.153417","-57.923146","0.103","0.0184","64","-10.836"
"48","ombia","0.54806","-0.22217","1.13778","-0.282795","1.077155","-0.48842","1.00653","SIDE","0.918586","-0.009023","-0.394325","-0.025024","148.968945","92.696787","-99.547489","0.108","0.0363","70","-11.933"
