"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1","indicee"
"288","mildessa","0.755","-0.00879630149832","0.171000004862","-0.601796310107","1.14800001867","-0.973796314737","1.47700002452","TOP","0.484085774922","0.500789511312","0.52965251854","-0.484085774922","15.2689769148","252.819644696","-11.511034832","0.004844005","0.000087626","1638"
"289","mildessa","0.0","-0.535796310231","0.0","-0.585796309347","0.775000013993","-0.379796306081","0.614000009606","SIDE","0.857745470319","0.0122801208584","-0.513927919828","-2.99318484712e-16","156.284365291","101.383619317","-80.3164609755","0.008253169","0.000030827","1640"
"290","mildessa","0.755","-0.500796308569","1.18100002024","-1.13779631927","1.29500002239","0.203203702052","0.118000002345","TOP","0.551449067185","0.397844314304","0.483247094329","-0.551449067185","4.75533293001","263.249788286","8.19517884692","0.013049847","0.000067994","1642"
"291","mildessa","0.0","-0.580796309109","0.551000009873","-0.600796310059","0.731000011903","-0.326796306824","0.451000008383","SIDE","0.976905400786","-0.0308854210984","-0.211428306238","7.63565329939e-17","73.4277973854","70.7684116616","-163.75709267","0.008272755","0.000038485","1643"
"292","mildessa","0.0","-1.03279631754","1.57079632679","-1.57079632679","1.57079632679","-0.520796309519","1.35600002203","SIDE","2.53040385344e-16","-0.526042327408","-0.025215116681","0.850084506191","138.156710718","83.1985658381","-66.956718941","0.001629347","0.000016300","1651"
"293","mildessa","0.755","-0.98079631507","1.50479632692","-0.982796315165","1.49800002552","0.0962037002293","0.0","TOP","-1.7124646546e-17","-0.01602117949","-0.704927214672","0.709098684121","42.2104687264","249.248118389","0.498172956853","0.008729894","0.000088464","1652"
"294","mildessa","0.0","-0.654796312624","0.760000013281","-0.482796307714","0.450000008335","-0.344796307679","0.2720000064","SIDE","0.691221431236","0.104562468787","0.715038196966","-1.60617563989e-16","-183.039658994","98.0097477668","7.19399515703","0.009468400","0.000043510","1658"
"295","mildessa","0.0","-0.885796313817","1.36300002236","-1.12279631855","1.31700002018","-0.114796303273","0.47600000957","TOP","0.520183814656","0.42319165044","0.528891694904","-0.520183814656","3.03750001529","258.711468147","9.19225552232","0.014010012","0.000117925","1662"
"296","mildessa","0.0","0.315203704112","0.0","-0.263796307091","0.861000014818","-1.03079631744","1.39800002403","TOP","0.756856647488","0.614285784988","0.223206159221","-2.56705189753e-16","-14.4047645663","262.62323572","-1.82904000245","0.009982017","0.000057086","1666"
"297","mildessa","0.755","-0.433796308646","1.17000001972","0.25220370112","0.11200000206","-1.02379631711","1.42900002224","TOP","0.535178467825","0.59219623294","-0.276535055364","0.535178467825","-14.2358294904","262.158309411","-1.75620801305","0.006035722","0.000037868","1668"
"298","mildessa","0.0","-1.57079632679","1.57079632679","-0.819796313942","1.48000002466","-0.531796310041","1.24000001978","SIDE","0.449933569796","0.0937218973018","0.888130614683","3.90646026001e-17","-127.576759035","87.8052290178","95.1439249382","0.008257678","0.000049949","1672"
"299","mildessa","0.755","0.161203700057","0.0","-0.987796315402","1.45400002343","-0.541796310516","1.20300001802","TOP","-0.491982853732","-0.400472443331","0.59626132308","-0.491982853732","-13.1250997475","258.129121221","5.90635763458","0.010538653","0.000053154","1673"
"300","mildessa","0.0","-0.572796308729","0.702000010526","-0.591796309632","0.747000012663","-0.373796305796","0.56800001068","SIDE","4.31433881031e-17","0.954947776842","0.00538334365382","-0.296725063173","101.709285954","79.1075346142","146.966157117","0.012577535","0.000061648","1676"
"301","mildessa","0.755","-1.0677963192","1.43600002257","-0.492796308189","1.06200001785","-0.131796304081","0.43600000767","TOP","0.508410075753","0.531614665851","0.447687655401","-0.508410075753","-9.17017399199","255.128709699","16.4483867104","0.018284545","0.000151186","1677"
"302","mildessa","0.755","-0.442796309074","0.961000016308","-1.0677963192","1.43600002257","-0.143796304651","0.46000000881","TOP","0.719000424377","0.692471312189","-0.0593453582143","-3.57077778733e-16","-9.17017399199","255.128709699","16.4483867104","0.019417856","0.000132333","1678"
"303","mildessa","0.0","-1.09779631737","1.40200002096","1.09820371523","1.57079632679","-0.0537963036357","0.693000013358","TOP","0.0","0.0603888848879","-0.623025709889","0.779866749772","5.13209522056","259.362771761","9.06071608013","0.000935320","0.000023311","1684"
"304","mildessa","0.755","-1.01279631659","1.51679632749","-0.987796315402","1.48600002495","0.179203700912","2.00542919808e-16","TOP","0.473141583032","0.526179264111","-0.524794690171","0.473141583032","-1.0340729318","253.187039402","-25.7051700558","0.011513803","0.000069139","1688"
"305","mildessa","0.0","-1.57079632679","1.57079632679","-0.997796315877","1.57079632679","-0.518796309424","1.34200002137","SIDE","0.887128593228","0.0455073325558","-0.459273275687","-7.82174529924e-17","125.434121182","87.2473886321","-89.1919428934","0.003868577","0.000018999","1696"
"306","mildessa","0.0","-0.674796310314","0.768000013661","-0.514796309234","0.50000001071","-0.338796307394","0.3280000058","SIDE","0.449933569796","0.0937218973018","0.888130614683","3.90646026001e-17","-147.48481997","89.9060700558","109.968353316","0.008628268","0.000039036","1697"
"307","mildessa","0.0","-0.599796310012","0.786000014516","-0.550796310944","0.803000012063","-0.422796308124","0.676000012551","SIDE","0.582903138157","-0.0346178504934","-0.811803877765","7.73761666784e-17","164.579927233","73.5964344711","61.7633094694","0.010988236","0.000043474","1699"
"308","mildessa","0.0","-0.091796302181","0.531000008923","0.15220369963","0.326000005705","-1.12879631884","1.23900001973","TOP","0.551449067185","0.483247094329","-0.397844314304","0.551449067185","4.43508501375","266.553752016","7.45947226923","0.013828244","0.000086284","1701"
"309","mildessa","0.0","-0.965796317617","1.52679632796","1.09820371523","1.57079632679","-0.470796307144","0.936000015121","TOP","0.501408488072","0.487130129078","-0.509787498398","0.501408488072","42.1741148127","247.648556816","0.507199977648","0.007304017","0.000031865","1703"
"310","mildessa","0.0","-0.585796309347","1.14700001862","-0.081796301706","0.3680000077","-0.970796314595","1.50079632673","TOP","0.490116141716","0.524976807934","0.493934900963","-0.490116141716","-17.0964383197","251.319106373","-14.8353524535","0.011052675","0.000097251","1704"
