object name,grasp direction,ID,choose_crit,eps_l1,vol_l1,offset_fingers,1:object_grasped,2:lifted,3:moved_start,4:1st_spin,5:1st_spin_90,6:1st_spin_-90,7:hard_dash,8:hard_dash_90,9:hard_dash_-90
fanta-small,SIDE,34,BEST EPS,0.175,0.135,,0.5,1,1,1,1,1,1,1,1
fanta-small,TOP,3,BEST EPS,0.142,0.106,,0.5,1,1,1,1,1,1,1,1
fanta-small,SIDE,9,BEST VOL,0.164,0.142,,0.5,1,1,1,1,1,1,1,1
fanta-small,TOP,25,BEST VOL,0.135,0.108,,0.5,0.5,0.5,1,1,0.5,0.5,1,1
fanta-small,SIDE,38,RANDOM,0.0888,0.0115,,0.5,0,,,,,,,
fanta-small,SIDE,28,RANDOM,0.165,0.12,,0.5,1,1,1,1,1,1,1,1
